Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-17,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-18,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-19,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-20,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-23,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-24,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-25,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-26,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-27,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-05-31,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-01,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-02,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-03,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-06,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-07,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-08,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-09,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-10,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-13,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-06-14,1e-05,1e-05,1e-05,1e-05,1e-05,247
2022-06-15,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-16,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-28,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-06-29,1e-05,1e-05,1e-05,1e-05,1e-05,400
2022-06-30,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-01,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-07,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-12,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-14,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-15,1e-05,1e-05,1e-05,1e-05,1e-05,2000
2022-07-18,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-19,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-20,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-25,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-07-26,1e-05,0.0001,1e-05,0.0001,0.0001,18657
2022-07-27,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-07-28,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-07-29,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-01,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-02,1e-05,1e-05,1e-05,1e-05,1e-05,100
2022-08-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-04,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-08-12,0.0001,0.0001,0.0001,0.0001,0.0001,2000
2022-08-15,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-16,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-17,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-18,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-19,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-22,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-23,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-24,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-25,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-26,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-29,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-30,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-08-31,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-01,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-02,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-06,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-07,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-08,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-09,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-12,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-13,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-14,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-15,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-16,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-19,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-20,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-21,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-22,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-23,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-26,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-27,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-28,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-29,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-09-30,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-03,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-04,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-05,0.0001,0.0001,0.0001,0.0001,0.0001,300
2022-10-06,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-07,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-10,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-11,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-12,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-13,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-14,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-17,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-18,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-19,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-20,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-21,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-24,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-25,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-26,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-27,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-28,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-10-31,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-01,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-02,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-03,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-04,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-07,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-08,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-09,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-10,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-11,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-14,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-15,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-16,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-17,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-18,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-11-21,5e-05,5e-05,5e-05,5e-05,5e-05,90000
2022-11-22,1e-05,1e-05,1e-05,1e-05,1e-05,35000
2022-11-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-11-25,1e-05,1e-05,1e-05,1e-05,1e-05,0
2022-11-28,0.0001,0.0001,0.0001,0.0001,0.0001,300
2022-11-29,0.0001,0.0001,0.0001,0.0001,0.0001,12087
2022-11-30,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-01,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-02,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-05,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-06,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-07,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-08,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-09,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-12,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-13,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-14,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-15,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-16,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-19,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-20,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-21,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-22,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-23,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-27,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-28,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-29,0.0001,0.0001,0.0001,0.0001,0.0001,0
2022-12-30,1e-05,1e-05,1e-05,1e-05,1e-05,25000
2023-01-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-04,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-12,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-18,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-19,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-20,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-25,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-26,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-30,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-01-31,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-01,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-02,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-07,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-14,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-15,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-16,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-02-28,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-01,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-02,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-07,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-14,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-15,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-16,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-20,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-28,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-29,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-30,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-03-31,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-04,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-05,1e-05,1e-05,1e-05,1e-05,1e-05,200
2023-04-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-12,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-14,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-18,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-19,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-20,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-25,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-26,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-04-28,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-01,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-02,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-04,1e-05,1e-05,1e-05,1e-05,1e-05,1000
2023-05-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-12,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-15,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-16,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-17,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-18,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-19,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-24,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-25,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-26,1e-05,1e-05,1e-05,1e-05,1e-05,5000
2023-05-30,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-05-31,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-01,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-02,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-05,1e-05,1e-05,1e-05,1e-05,1e-05,20000
2023-06-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-07,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-08,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-09,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-12,1e-05,1e-05,1e-05,1e-05,1e-05,450
2023-06-13,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-14,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-15,1e-05,1e-05,1e-05,1e-05,1e-05,31300
2023-06-16,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-20,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-21,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-22,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-23,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-26,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-27,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-28,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-29,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-06-30,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-03,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-06,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-07,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-10,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-11,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-12,1e-05,1e-05,1e-05,1e-05,1e-05,0
2023-07-13,1e-06,1e-06,1e-06,1e-06,1e-06,910
